epoch,time_elapsed,exploration_rate,reward,max_q,score,loss
0,0.09815454483032227,0.1,0.1,0.012319572269916534,0,0.010033026337623596
48,1.7236535549163818,0.0999976023988012,-1,0.02538353204727173,0,0.04098082706332207
98,3.392606496810913,0.09999510489755245,-1,0.04513831064105034,0,0.010410664603114128
100,3.4597134590148926,0.09999500499750251,0.1,0.041347697377204895,0,0.04110445827245712
148,5.063370704650879,0.09999260739630371,-1,0.08428701013326645,0,0.010222513228654861
198,6.743557929992676,0.09999010989505495,-1,0.16774745285511017,0,0.07406759262084961
200,6.812427043914795,0.099990009995005,0.1,0.13390937447547913,0,0.011774747632443905
248,8.431468486785889,0.0999876123938062,-1,0.2974536418914795,0,0.04450017958879471
298,10.107524156570435,0.09998511489255746,-1,0.5260370969772339,0,0.017954887822270393
300,10.17444920539856,0.0999850149925075,0.1,0.38066089153289795,0,0.014370572753250599
348,11.79434871673584,0.0999826173913087,-1,0.77219158411026,0,0.02345605194568634
398,13.46660828590393,0.09998011989005995,-1,1.0885753631591797,0,0.041179221123456955
400,13.536152839660645,0.09998001999001,0.1,0.711956799030304,0,0.11185542494058609
448,15.147730588912964,0.0999776223888112,-1,1.4709343910217285,0,0.24597883224487305
498,16.81617498397827,0.09997512488756245,-1,1.5533393621444702,0,0.41007208824157715
500,16.88077473640442,0.0999750249875125,0.1,0.9503028392791748,0,0.24008235335350037
548,18.493231534957886,0.0999726273863137,-1,1.5456748008728027,0,0.026255203410983086
598,20.161190032958984,0.09997012988506494,-1,1.6916725635528564,0,0.26030269265174866
600,20.229825735092163,0.099970029985015,0.1,0.9961607456207275,0,0.11875764280557632
648,21.837203979492188,0.0999676323838162,-1,1.9653980731964111,0,0.3303041458129883
698,23.514352560043335,0.09996513488256745,-1,2.052656650543213,0,0.049261968582868576
700,23.582385063171387,0.09996503498251749,0.1,1.167360782623291,0,0.051867496222257614
748,25.199151039123535,0.09996263738131869,-1,2.490095376968384,0,0.12251316756010056
798,26.876298904418945,0.09996013988006995,-1,2.949117660522461,0,0.5091978907585144
800,26.947155475616455,0.09996003998002,0.1,1.5802521705627441,0,0.1466362029314041
848,28.550430297851562,0.0999576423788212,-1,3.6540067195892334,0,0.5816266536712646
898,30.51794695854187,0.09995514487757244,-1,4.064162254333496,0,0.5581797361373901
900,30.584469079971313,0.0999550449775225,0.1,2.2015411853790283,0,0.5985549688339233
948,32.229490518569946,0.0999526473763237,-1,3.7386581897735596,0,0.713080883026123
998,33.91022872924805,0.09995014987507495,-1,4.02821159362793,0,0.18424898386001587
1000,33.979331970214844,0.09995004997502499,0.1,2.082268476486206,0,1.2125217914581299
1048,35.58213448524475,0.09994765237382619,-1,4.309453010559082,0,0.4326603412628174
1100,37.32921552658081,0.0999450549725275,0.1,5.247531890869141,0,0.24006056785583496
1102,37.397175788879395,0.09994495507247754,-1,6.75252628326416,0,0.2035112977027893
1152,39.072447538375854,0.09994245757122878,-1,3.910759687423706,0,1.1101926565170288
1200,40.678789377212524,0.09994005997002998,0.1,3.427603244781494,0,1.8688298463821411
1202,40.746379137039185,0.09993996006998004,-1,4.7980570793151855,0,1.0355758666992188
1252,42.42501711845398,0.09993746256873129,-1,4.969198703765869,0,1.2941486835479736
1300,44.02938675880432,0.09993506496753249,0.1,3.271458864212036,0,0.3096265494823456
1302,44.09840250015259,0.09993496506748253,-1,4.651089668273926,0,0.2810576260089874
1352,45.7841374874115,0.09993246756623379,-1,4.022037982940674,0,1.4395952224731445
1400,47.50874400138855,0.09993006996503499,0.1,2.9422550201416016,0,0.744215726852417
1402,47.57630658149719,0.09992997006498504,-1,4.040050506591797,0,1.0282894372940063
1452,49.25015068054199,0.09992747256373628,-1,4.820362091064453,0,0.7549949884414673
1500,50.854289054870605,0.09992507496253748,0.1,4.032098293304443,0,0.28507447242736816
1502,50.92296504974365,0.09992497506248754,-1,5.254171371459961,0,0.5737763047218323
1552,52.59636902809143,0.09992247756123879,-1,4.985809326171875,0,0.5692583918571472
1600,54.20595693588257,0.09992007996003999,0.1,4.020957946777344,0,1.6860555410385132
1602,54.2743661403656,0.09991998005999003,-1,5.013184547424316,0,0.4051825702190399
1652,55.954413652420044,0.09991748255874129,-1,4.269712448120117,0,0.29846712946891785
1700,57.564263105392456,0.09991508495754249,0.1,3.483485460281372,0,0.4248090088367462
1702,57.63433861732483,0.09991498505749254,-1,3.9748101234436035,0,1.5054761171340942
1752,59.30937337875366,0.09991248755624378,-1,3.8614816665649414,0,0.30388379096984863
1800,60.91221356391907,0.09991008995504498,0.1,4.649783611297607,0,1.470106840133667
1802,60.98362183570862,0.09990999005499503,-1,5.0319294929504395,0,0.39086422324180603
1852,62.66530656814575,0.09990749255374629,-1,4.6600494384765625,0,2.6771435737609863
1900,64.27425050735474,0.09990509495254749,0.1,3.3986246585845947,0,0.7883087992668152
1902,64.34300994873047,0.09990499505249753,-1,3.54906964302063,0,0.5982967019081116
1952,66.01538014411926,0.09990249755124878,-1,3.606313705444336,0,0.5926563143730164
2000,67.62438583374023,0.09990009995004998,0.1,2.9316115379333496,0,0.6968438625335693
2002,67.69213914871216,0.09990000005000003,-1,3.0049021244049072,0,0.5417677164077759
2052,69.37390851974487,0.09989750254875128,-1,2.2498292922973633,0,0.4240489900112152
2100,70.98607611656189,0.09989510494755248,0.1,2.810638666152954,0,0.44300857186317444
2102,71.05180072784424,0.09989500504750252,-1,2.684781789779663,0,0.2410404533147812
2152,72.72377252578735,0.09989250754625378,-1,2.869105100631714,0,1.0820338726043701
2200,74.33625912666321,0.09989010994505498,0.1,2.3093414306640625,0,0.4220607876777649
2202,74.40618753433228,0.09989001004500503,-1,2.035615921020508,0,1.9011423587799072
2252,76.08133578300476,0.09988751254375627,-1,1.46458101272583,0,0.8498694896697998
2300,77.69339442253113,0.09988511494255747,0.1,2.4307355880737305,0,0.5957688689231873
2302,77.76094579696655,0.09988501504250753,-1,2.161139965057373,0,0.5196064710617065
2352,79.43790316581726,0.09988251754125878,-1,1.714896321296692,0,0.6572412252426147
2400,81.04632186889648,0.09988011994005998,0.1,2.1393260955810547,0,0.41946476697921753
2402,81.11185932159424,0.09988002004001002,-1,1.8935502767562866,0,0.5830425024032593
2452,82.7843074798584,0.09987752253876127,-1,1.4407840967178345,0,1.9652546644210815
2500,84.39535093307495,0.09987512493756247,0.1,2.0294294357299805,0,0.6614424586296082
2502,84.46649742126465,0.09987502503751253,-1,1.6815965175628662,0,0.558753252029419
2552,86.14883613586426,0.09987252753626377,-1,1.4574370384216309,0,0.6126136183738708
2600,87.75964832305908,0.09987012993506497,0.1,2.271660804748535,0,1.8799211978912354
2602,87.82924127578735,0.09987003003501502,-1,1.780613660812378,0,0.8973933458328247
2652,89.57638835906982,0.09986753253376628,-1,1.4455634355545044,0,0.7605050206184387
2700,91.1902916431427,0.09986513493256748,0.1,1.0820953845977783,0,1.2075051069259644
2702,91.26021599769592,0.09986503503251752,-1,0.7560861110687256,0,1.298095941543579
2752,93.06975150108337,0.09986253753126877,-1,0.5583913922309875,0,0.744117259979248
2800,94.68729662895203,0.09986013993006997,0.1,0.8250091671943665,0,0.8762858510017395
2802,94.75584816932678,0.09986004003002003,-1,0.5830845832824707,0,0.48410260677337646
2852,96.43751096725464,0.09985754252877127,-1,0.8056629300117493,0,0.6980234384536743
2900,98.05177283287048,0.09985514492757247,0.1,0.7681668996810913,0,1.8725929260253906
2902,98.13109254837036,0.09985504502752252,-1,0.7175037264823914,0,0.8383480310440063
2952,99.8076000213623,0.09985254752627377,-1,1.8182393312454224,0,0.6518154740333557
3000,101.42142724990845,0.09985014992507497,0.1,0.7449532747268677,0,0.7983002662658691
3002,101.49149751663208,0.09985005002502502,-1,0.915498673915863,0,0.32029426097869873
3052,103.17076992988586,0.09984755252377626,-1,1.2384587526321411,0,0.5513501763343811
3100,104.78114652633667,0.09984515492257746,0.1,0.4884052872657776,0,0.9901894330978394
3102,104.84958505630493,0.09984505502252752,-1,0.8633874654769897,0,0.4925280511379242
3152,106.53673267364502,0.09984255752127877,-1,1.2937734127044678,0,0.8322463035583496
3200,108.14293169975281,0.09984015992007997,0.1,1.2487112283706665,0,0.9421572685241699
3202,108.2099199295044,0.09984006002003001,-1,1.61575186252594,0,0.21572768688201904
3252,109.89468717575073,0.09983756251878126,-1,1.5117844343185425,0,0.4983639717102051
3300,111.5151379108429,0.09983516491758246,0.1,1.2335667610168457,0,0.4089091122150421
3302,111.5903263092041,0.09983506501753252,-1,1.6958690881729126,0,1.092522144317627
3352,113.27381825447083,0.09983256751628376,-1,1.4480372667312622,0,0.890677809715271
3400,114.89015221595764,0.09983016991508496,0.1,0.7196271419525146,0,0.6925934553146362
3402,114.96089053153992,0.09983007001503501,-1,1.1950048208236694,0,0.507002055644989
3452,116.64453196525574,0.09982757251378627,-1,1.4852988719940186,0,0.17751768231391907
3500,118.24838137626648,0.09982517491258747,0.1,0.6661760807037354,0,0.22475259006023407
3502,118.32149076461792,0.09982507501253751,-1,1.4030007123947144,0,0.9780445694923401
3539,1.2638120651245117,0.09982322686161343,-1,0.017783865332603455,0,0.010034838691353798
3558,1.8979971408843994,0.09982227781113891,-1,0.01878884993493557,0,0.07431256026029587
3595,3.1424777507781982,0.09982042966021483,-1,0.023453686386346817,0,0.07481405138969421
3600,3.3086893558502197,0.09982017991008996,0.1,0.022198203951120377,0,0.042440805584192276
3647,4.879674673080444,0.09981783225891613,-1,0.05499814450740814,0,0.043185144662857056
3666,5.518259763717651,0.0998168832084416,-1,0.03736692667007446,0,0.04391230642795563
3700,6.655297517776489,0.09981518490759246,0.1,0.07088203728199005,0,0.0448085255920887
3752,8.393059730529785,0.09981258750629377,-1,0.1722138524055481,0,0.08848868310451508
3771,9.031192302703857,0.09981163845581924,-1,0.10158870369195938,0,0.12375526130199432
3790,9.668684482574463,0.09981068940534471,-1,0.12078200280666351,0,0.13066914677619934
3800,10.001987218856812,0.09981018990509496,0.1,0.08950600773096085,0,0.014756337739527225
3837,11.235255479812622,0.09980834175417089,-1,0.397821307182312,0,0.008913779631257057
3856,11.870007276535034,0.09980739270369636,-1,0.24615605175495148,0,0.026465849950909615
3900,13.344188213348389,0.09980519490259745,0.1,0.8173655271530151,0,0.1940234899520874
3906,13.544096946716309,0.0998048952024476,-1,0.969352126121521,0,0.09166787564754486
3957,15.25173568725586,0.09980234775117389,-1,1.1881972551345825,0,0.09828521311283112
3992,16.423431634902954,0.09980059950029975,-1,1.1528126001358032,0,0.30439701676368713
4000,16.6918523311615,0.09980019990009996,0.1,0.2667602002620697,0,0.20386728644371033
4049,18.335107564926147,0.09979775234887618,-1,1.9460502862930298,0,0.05825958400964737
4068,18.97089195251465,0.09979680329840165,-1,0.822668194770813,0,0.4531535804271698
4100,20.048052310943604,0.09979520489760245,0.1,1.5149625539779663,0,0.1750522255897522
4118,20.653932571411133,0.0997943057971529,-1,1.4081108570098877,0,0.04129023104906082
4168,22.32193374633789,0.09979180829590416,-1,1.465600848197937,0,0.1486973613500595
4187,22.958293914794922,0.09979085924542963,-1,1.1177985668182373,0,0.27541717886924744
4200,23.39591646194458,0.09979020989510495,0.1,0.7732222080230713,0,0.0185139998793602
4237,24.632946491241455,0.09978836174418088,-1,2.2140307426452637,0,0.4054831564426422
4287,26.306004285812378,0.09978586424293212,-1,1.9063812494277954,0,0.29175424575805664
4300,26.741063356399536,0.09978521489260746,0.1,0.9879524111747742,0,0.28429728746414185
4337,27.981906414031982,0.09978336674168338,-1,1.9565879106521606,0,0.03501061722636223
4387,29.65992259979248,0.09978086924043462,-1,2.1645493507385254,0,0.0498402863740921
4400,30.093201160430908,0.09978021989010995,0.1,1.287569284439087,0,0.11304894834756851
4446,31.629674673080444,0.0997779221889611,-1,5.024146556854248,0,0.060319773852825165
4496,33.30556535720825,0.09977542468771235,-1,2.7610626220703125,0,0.06827356666326523
4500,33.43956708908081,0.09977522488761245,0.1,0.4131641089916229,0,0.3827361464500427
4515,33.94389343261719,0.09977447563723782,-1,2.113208293914795,0,0.3508993983268738
4565,35.61845397949219,0.09977197813598908,-1,2.8989973068237305,0,0.7891861796379089
