method,epoch,loss
Scratch,1,1.77054638711233
Scratch,2,1.3663018904035054
Scratch,3,1.1702533269685411
Scratch,4,0.961937255329556
Scratch,5,0.7990662758312528
Scratch,6,0.666263410969386
Scratch,7,0.4995686705150301
Scratch,8,0.4093349003602588
Scratch,9,0.322849450603364
Scratch,10,0.252481394343906
Scratch,11,0.20822804894239183
Scratch,12,0.18826806178641697
Scratch,13,0.1678051512156214
Scratch,14,0.1363366585638788
Scratch,15,0.14463078100529927
Scratch,16,0.12010459389005389
Scratch,17,0.08787803993456894
Scratch,18,0.07788914010401755
Scratch,19,0.07804824879008626
Scratch,20,0.09547393712850791
Random,1,2.2454042661757696
Random,2,2.0217875317921714
Random,3,1.9330106235685802
Random,4,1.8871302850662717
Random,5,1.8552468296081301
Random,6,1.8296386476547
Random,7,1.8084047559707883
Random,8,1.782220335233779
Random,9,1.7774298947954934
Random,10,1.760653196819245
Random,11,1.750184524626959
Random,12,1.748613478645446
Random,13,1.7365264476291717
Random,14,1.7298307286368475
Random,15,1.724522386278425
Random,16,1.7199869364026994
Random,17,1.714482551529294
Random,18,1.709620515505473
Random,19,1.7033608243578957
Random,20,1.7058292684100924
